Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,2 - High,PLAT-22188,22450960,Alert tagging does not update WW columns in ALERT_HEADER,EBaggott,maartentreunen,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.4.0.11,02/05/2018 19:07,
Defect,2 - High,PLAT-22215,22453214,Sequence functions “ADD-TO-RECORD” are different between Norkom 6.1 and Netreveal 7.2,Pnolan,VSavkoor,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Services Manager,,,,,7.2.1.26,11/06/2018 20:11,
Defect,2 - High,PLAT-22223,22454304,"CLONE - SOAP response - ""result"" element is wrongly spelled as ""return""",Pnolan,VSavkoor,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Services Manager,,,,,7.2.1.26,28/06/2018 17:48,
Defect,2 - High,PLAT-22232,22455066,CLONE - Email inbound_additionalParameters doesn't work for more than a single parameter,RNathan,RNathan,New,,,,,,,,,,,,,,,,,,,,,,,7.4,7.5,,,,,,,,,,,,,,,,,,,,,Administration,Other,,,,7.4.0.14,12/07/2018 06:14,
Defect,2 - High,PLAT-22241,22455781,CLONE - CLONE - Email inbound_additionalParameters doesn't work for more than a single parameter,Pnolan,RNathan,New,,,,,,,,,,,,,,,,,,,,,,,7.4,7.5,,,,,,,,,,,,,,,,,,,,,Administration,Other,,,,7.4.0.14,23/07/2018 04:11,
Defect,2 - High,PLAT-22251,22456551,Interactive List Pagination Issues ([CIPFA-1404]/[NESD-1940]),Pnolan,DStobbs,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.4.0.11,02/08/2018 12:45,
Defect,2 - High,PLAT-22258,22457194,[TDB-181] - Users unable to access application after Win 10,Pnolan,kalyansubbarao,New,,,,,,,,,,,,,,,,,,,,,,,6.1.2,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,6.1.2.122,09/08/2018 12:15,
Defect,2 - High,PLAT-22260,22457225,Buttons are not displayed in Disclosure page of Netreveal EIM after clicking CTRL+Insert+B,Pnolan,EClarke,New,7.7,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.5.0.6,09/08/2018 18:20,
Defect,2 - High,PLAT-22261,22457226,Un- labelled button 2 is displaying in Disclosure page of Netreveal EIM after clicking Insert+F5,Pnolan,EClarke,New,7.7,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.5.0.6,09/08/2018 18:21,
Defect,2 - High,PLAT-22294,22459083,HTML5 equivalents for all legacy Graph types,Pnolan,EClarke,New,,,,,,,,,,,,,,,,,,,,,,,7.5,7.6,7.7,8,,,,,,,,,,,,,,,,,,,Command and Control,,,,,7.5.0.3,31/08/2018 19:01,
Defect,2 - High,PLAT-22296,22459098,CA-I : Security vulnerabilities detected during customer assessment,JGedge,nizarbaslih,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Administration,Application Builder,,,,http://proddev-svn/svn/norkom/APPSRoot/Projects/Services/CAI,02/09/2018 20:21,
Defect,2 - High,PLAT-22308,22459978,CLONE - CDD Scoring does not kick off without stopping and starting both batch and UI servers,josephwilliams,michellehartnett,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Other,,,,,7.4,13/09/2018 03:24,
Defect,2 - High,PLAT-22313,22460687,CLONE - Elastic Search query results in NullPointerException,Pnolan,SHanley,New,7.7,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,NR Search,,,,,7.5,20/09/2018 14:41,
Defect,2 - High,PLAT-22314,22460710,CLONE - Out-of-the-box SAML build does not deploy,Pnolan,JGedge,New,7.6,7.7,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.6.0.4,20/09/2018 16:28,
Defect,2 - High,PLAT-22351,22462485,CLONE - Unable to set AML model into production with scenarios created via DUX Scenario Manager,MWilkins,DKnyazev,New,7.7,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.6.0.4,10/10/2018 12:06,
Defect,2 - High,PLAT-22339,22465441,NPEs introduced by Fix for PLAT-5174 Reporting Mechanism Doesn't Scale Well,Pnolan,SHanley,New,,,,,,,,,,,,,,,,,,,,,,,7.4,7.5,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.5.0.3,08/11/2018 17:21,
